date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:39:36	83853/83853	URF---	200	untouched ('OK%20(cached)')	image/jpeg		https://amberswayblog.files.wordpress.com/2018/04/signal-2018-04-30-2011272944859534021307549.jpg?w=656	/home/mjs/sites/ambersway/amberswayblog.files.wordpress.com/2018/04/signal-2018-04-30-20112729448595340213075494829.jpg	(from https://ambersway.com/2018/04/30/day-40-bracing-ourselves/)
17:39:49	59331/59331	URF---	200	untouched ('OK%20(cached)')	image/jpeg		https://amberswayblog.files.wordpress.com/2018/05/img_1066-024422958413502530723.jpeg?w=656	/home/mjs/sites/ambersway/amberswayblog.files.wordpress.com/2018/05/img_1066-0244229584135025307234829.jpg	(from https://ambersway.com/2018/05/03/day-43-surgery-went-well/)
17:40:01	1387/1387	URF---	200	untouched ('OK%20(cached)')	image/png		https://2.gravatar.com/avatar/86b6b770570a2b0d2da7b16d9f6ca3e8?s=60&d=identicon&r=G	/home/mjs/sites/ambersway/2.gravatar.com/avatar/86b6b770570a2b0d2da7b16d9f6ca3e85055.png	(from https://ambersway.com/2018/03/31/day-10/)
17:40:14	65384/65384	URF---	200	untouched ('OK%20(cached)')	image/png		https://amberswayblog.files.wordpress.com/2018/05/img_20180510_092001489-e1525984970655.png?w=656	/home/mjs/sites/ambersway/amberswayblog.files.wordpress.com/2018/05/img_20180510_092001489-e15259849706554829.png	(from https://ambersway.com/2018/05/10/day-50-were-home/)
17:40:23	89743/89743	URF---	200	untouched ('OK%20(cached)')	image/png		https://amberswayblog.files.wordpress.com/2018/05/img_20180510_111643302-e1525985513474.png?w=656	/home/mjs/sites/ambersway/amberswayblog.files.wordpress.com/2018/05/img_20180510_111643302-e15259855134744829.png	(from https://ambersway.com/2018/05/10/day-50-were-home/)
17:40:32	1849/1849	URF---	200	untouched ('OK%20(cached)')	image/png		https://2.gravatar.com/avatar/bf0b61bd8b7d4a077a05ff0cfac5b85c?s=60&d=identicon&r=G	/home/mjs/sites/ambersway/2.gravatar.com/avatar/bf0b61bd8b7d4a077a05ff0cfac5b85c5055.png	(from https://ambersway.com/2018/04/01/day-11-easter/)
17:40:37	480885/480885	URF---	200	untouched ('OK%20(cached)')	image/png		https://amberswayblog.files.wordpress.com/2018/05/20180510_125028.png?w=656	/home/mjs/sites/ambersway/amberswayblog.files.wordpress.com/2018/05/20180510_1250284829.png	(from https://ambersway.com/2018/05/10/day-50-were-home/)
17:41:02	607711/607711	URF---	200	untouched ('OK%20(cached)')	image/png		https://amberswayblog.files.wordpress.com/2018/05/20180510_164044.png?w=656	/home/mjs/sites/ambersway/amberswayblog.files.wordpress.com/2018/05/20180510_1640444829.png	(from https://ambersway.com/2018/05/10/day-50-were-home/)
17:41:02	1342/1342	URF---	200	untouched ('OK%20(cached)')	image/png		https://2.gravatar.com/avatar/bf157f0cefce4919616c937443f5c060?s=60&d=identicon&r=G	/home/mjs/sites/ambersway/2.gravatar.com/avatar/bf157f0cefce4919616c937443f5c0605055.png	(from https://ambersway.com/2018/04/02/day-12-a-thumbs-up/)
17:41:14	63198/63198	URF---	200	untouched ('OK%20(cached)')	image/jpeg		https://amberswayblog.files.wordpress.com/2018/05/radmask-e1526167301597.jpg?w=656	/home/mjs/sites/ambersway/amberswayblog.files.wordpress.com/2018/05/radmask-e15261673015974829.jpg	(from https://ambersway.com/2018/05/12/day-52-the-first-bite-of-the-whale/)
